,Dates,Country,Market Name,Currency,Exchange_Rate
2975,2026-04-01,Ethiopia,Ziway,ETB,157.8
2976,2026-01-01,Ethiopia,Market Average,ETB,155.36
2977,2026-02-01,Ethiopia,Market Average,ETB,155.41
2978,2026-03-01,Ethiopia,Market Average,ETB,156.26
2979,2026-04-01,Ethiopia,Market Average,ETB,157.8
2980,2026-01-01,Guinea,Beyla,GNF,8693.51
2981,2026-02-01,Guinea,Beyla,GNF,8773.36
2982,2026-03-01,Guinea,Beyla,GNF,8772.82
2983,2026-04-01,Guinea,Beyla,GNF,8819.58
2984,2026-01-01,Guinea,Boke,GNF,8693.51
2985,2026-02-01,Guinea,Boke,GNF,8773.36
2986,2026-03-01,Guinea,Boke,GNF,8772.82
2987,2026-04-01,Guinea,Boke,GNF,8819.58
2988,2026-01-01,Guinea,Conakry (FAO location),GNF,8693.51
2989,2026-02-01,Guinea,Conakry (FAO location),GNF,8773.36
2990,2026-03-01,Guinea,Conakry (FAO location),GNF,8772.82
2991,2026-04-01,Guinea,Conakry (FAO location),GNF,8819.58
2992,2026-01-01,Guinea,Conakry-Concasseur,GNF,8693.51
